valid,1

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,128,57.394295,27.267518,1,S,,,,,,"mref(ref) iteration #1"
104.milc,128,56.800158,27.55274,0,S,,,,,,"mref(ref) iteration #2"
107.leslie3d,128,233.555325,22.350165,0,S,,,,,,"mref(ref) iteration #1"
107.leslie3d,128,233.690881,22.3372,1,S,,,,,,"mref(ref) iteration #2"
113.GemsFDTD,128,207.845429,30.349477,0,S,,,,,,"mref(ref) iteration #1"
113.GemsFDTD,128,208.380637,30.271527,1,S,,,,,,"mref(ref) iteration #2"
115.fds4,128,85.674385,22.772267,0,S,,,,,,"mref(ref) iteration #1"
115.fds4,128,85.765313,22.748124,1,S,,,,,,"mref(ref) iteration #2"
121.pop2,128,332.27356,12.423498,0,S,,,,,,"mref(ref) iteration #1"
121.pop2,128,387.270154,10.659226,1,S,,,,,,"mref(ref) iteration #2"
122.tachyon,128,148.329862,18.856621,1,S,,,,,,"mref(ref) iteration #1"
122.tachyon,128,148.272234,18.86395,0,S,,,,,,"mref(ref) iteration #2"
126.lammps,128,150.758456,19.335565,1,S,,,,,,"mref(ref) iteration #1"
126.lammps,128,150.450646,19.375125,0,S,,,,,,"mref(ref) iteration #2"
127.wrf2,128,171.343647,45.499207,0,S,,,,,,"mref(ref) iteration #1"
127.wrf2,128,171.544859,45.445839,1,S,,,,,,"mref(ref) iteration #2"
128.GAPgeofem,128,74.326915,27.782668,0,S,,,,,,"mref(ref) iteration #1"
128.GAPgeofem,128,74.696049,27.645371,1,S,,,,,,"mref(ref) iteration #2"
129.tera_tf,128,157.395643,17.586256,0,S,,,,,,"mref(ref) iteration #1"
129.tera_tf,128,159.176418,17.389511,1,S,,,,,,"mref(ref) iteration #2"
130.socorro,128,141.957481,26.888333,0,S,,,,,,"mref(ref) iteration #1"
130.socorro,128,142.190465,26.844275,1,S,,,,,,"mref(ref) iteration #2"
132.zeusmp2,128,124.473437,24.929014,0,S,,,,,,"mref(ref) iteration #1"
132.zeusmp2,128,125.451085,24.73474,1,S,,,,,,"mref(ref) iteration #2"
137.lu,128,109.293461,33.634217,1,S,,,,,,"mref(ref) iteration #1"
137.lu,128,108.824543,33.779145,0,S,,,,,,"mref(ref) iteration #2"

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,128,57.394295,27.267518,1,S,,,,,NR,"SelectedIteration (base #1)"
107.leslie3d,128,233.690881,22.3372,1,S,,,,,NR,"SelectedIteration (base #2)"
113.GemsFDTD,128,208.380637,30.271527,1,S,,,,,NR,"SelectedIteration (base #2)"
115.fds4,128,85.765313,22.748124,1,S,,,,,NR,"SelectedIteration (base #2)"
121.pop2,128,387.270154,10.659226,1,S,,,,,NR,"SelectedIteration (base #2)"
122.tachyon,128,148.329862,18.856621,1,S,,,,,NR,"SelectedIteration (base #1)"
126.lammps,128,150.758456,19.335565,1,S,,,,,NR,"SelectedIteration (base #1)"
127.wrf2,128,171.544859,45.445839,1,S,,,,,NR,"SelectedIteration (base #2)"
128.GAPgeofem,128,74.696049,27.645371,1,S,,,,,NR,"SelectedIteration (base #2)"
129.tera_tf,128,159.176418,17.389511,1,S,,,,,NR,"SelectedIteration (base #2)"
130.socorro,128,142.190465,26.844275,1,S,,,,,NR,"SelectedIteration (base #2)"
132.zeusmp2,128,125.451085,24.73474,1,S,,,,,NR,"SelectedIteration (base #2)"
137.lu,128,109.293461,33.634217,1,S,,,,,NR,"SelectedIteration (base #1)"

SPECmpiM_base2007,23.821275,,23.821275
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",042

"System Vendor:",SGI
"System Name:","SGI Altix ICE 8200EX (Intel Xeon X5570, 2.93 GHz)"
"Date tested:",Feb-2009
"MPI2007 License:",4
"Test sponsor:",SGI
"Tested by:",SGI
"Hardware avail:",Mar-2009
"Software avail:",Jan-2009


"Node Description: SGI Altix ICE 8200EX Compute Node"

HARDWARE

"Number of nodes",16
"Uses of the node",compute
Vendor,SGI
Model,"SGI Altix ICE 8200EX (Intel Xeon X5570, 2.93 GHz)"
"CPU Name","Intel Xeon X5570"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",8
"Cores per chip",4
"Threads per core",2
"CPU Characteristics","Intel Turbo Boost Technology up to 3.33 GHz,"
,"6.4 GT/s QPI, Hyper-Threading enabled"
"CPU MHz",2934
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","256 KB I+D on chip per core"
"L3 Cache","8 MB I+D on chip per chip"
"Other Cache",None
Memory,"48 GB (12*4GB DDR3-1066 CL7 RDIMMs)"
"Disk Subsystem",None
"Other Hardware",None
Adapter,"Mellanox MT26418 ConnectX IB DDR"
,"(PCIe x8 Gen2 5 GT/s)"
"Number of Adapters",1
"Slot Type","PCIe x8 Gen2"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",2
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MT26418 ConnectX IB DDR"
,"(PCIe x8 Gen2 5 GT/s)"
"Adapter Driver",OFED-1.3.1
"Adapter Firmware",2.5.0
"Operating System","SUSE Linux Enterprise Server 10 (x86_64) SP2"
,"Kernel 2.6.16.60-0.30-smp"
"Local File System",NFSv3
"Shared File System","NFSv3 IPoIB"
"System State","Multi-user, run level 3"
"Other Software","SGI ProPack 6 for Linux Service Pack 2"


"Node Description: SGI InfiniteStorage Nexis 2000 NAS"

HARDWARE

"Number of nodes",1
"Uses of the node",fileserver
Vendor,SGI
Model,"SGI Altix XE 240 (Intel Xeon 5140, 2.33 GHz)"
"CPU Name","Intel Xeon 5140"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",4
"Cores per chip",2
"Threads per core",1
"CPU Characteristics","1333 MHz FSB"
"CPU MHz",2328
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","4 MB I+D on chip per chip"
"L3 Cache",None
"Other Cache",None
Memory,"24 GB (6*4GB DDR2-400 DIMMS)"
"Disk Subsystem","7 TB RAID 5"
,"48 x 147 GB SAS (Seagate Cheetah 15000 rpm)"
"Other Hardware",None
Adapter,"Mellanox MT25208 InfiniHost III Ex"
,"(PCIe x8 Gen1 2.5 GT/s)"
"Number of Adapters",2
"Slot Type","PCIe x8 Gen1"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",2
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MT25208 InfiniHost III Ex"
,"(PCIe x8 Gen1 2.5 GT/s)"
"Adapter Driver",OFED-1.3
"Adapter Firmware",5.3.0
"Operating System","SUSE Linux Enterprise Server 10 (x86_64) SP1"
,"Kernel 2.6.16.54-0.2.5-smp"
"Local File System",xfs
"Shared File System",--
"System State","Multi-user, run level 3"
"Other Software","SGI ProPack 5 for Linux Service Pack 5"


"Interconnect Description: InfiniBand (MPI)"

HARDWARE

Vendor,"Mellanox Technologies"
Model,"MT26418 ConnectX"
"Switch Model","Mellanox MT47396 InfiniScale III"
"Number of Switches",8
"Number of Ports",24
"Data Rate","InfiniBand 4x DDR"
Firmware,2020001
Topology,"Bristle hypercube with express links"
"Primary Use","MPI traffic"


"Interconnect Description: InfiniBand (I/O)"

HARDWARE

Vendor,"Mellanox Technologies"
Model,"MT26418 ConnectX"
"Switch Model","Mellanox MT47396 InfiniScale-III"
"Number of Switches",8
"Number of Ports",24
"Data Rate","InfiniBand 4x DDR"
Firmware,2020001
Topology,"Bristle hypercube with express links"
"Primary Use","I/O traffic"


"BENCHMARK DETAILS"

"Type of System",Homogeneous
"Total Compute Nodes",16
"Total Chips",32
"Total Cores",128
"Total Threads",256
"Total Memory","768 GB"
"Base Ranks Run",128
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"C Compiler","Intel C Compiler for Linux"
,"Version 10.1, Build 20080801"
"C++ Compiler","Intel C++ Compiler for Linux"
,"Version 10.1, Build 20080801"
"Fortran Compiler","Intel Fortran Compiler for Linux"
,"Version 10.1, Build 20080801"
"Base Pointers",64-bit
"Peak Pointers",64-bit
"MPI Library","SGI MPT 1.23"
"Other MPI Info","OFED 1.3.1"
Pre-processors,None
"Other Software",None

"Submit Notes"

"The config file option 'submit' was used."

"General Notes"

" Software environment:"
"   setenv MPI_REQUEST_MAX 65536"
"     Determines the maximum number of nonblocking sends and"
"     receives that can simultaneously exist for any single MPI"
"     process.  MPI generates an error message if this limit"
"     (or the default, if not set) is exceeded.  Default:  16384"
"   setenv MPI_TYPE_MAX 32768"
"     Determines the maximum number of data types that can"
"     simultaneously exist for any single MPI process."
"     MPI generates an error message if this limit (or the default,"
"     if not set) is exceeded.  Default:  1024"
"   setenv MPI_BUFS_THRESHOLD 1"
"     Determines whether MPT uses per-host or per-process message"
"     buffers for communicating with other hosts.  Per-host buffers"
"     are generally faster but for jobs running across many hosts they"
"     can consume a prodigious amount of memory.  MPT will use per-"
"     host buffers for jobs using up to and including this many hosts"
"     and will use per-process buffers for larger host counts."
"     Default:  64"
"   setenv MPI_DSM_DISTRIBUTE"
"     Activates NUMA job placement mode.  This mode ensures that each"
"     MPI process gets a unique CPU and physical memory on the node"
"     with which that CPU is associated.  Currently, the CPUs are"
"     chosen by simply starting at relative CPU 0 and incrementing"
"     until all MPI processes have been forked."

"   limit stacksize unlimited"
"     Removes limits on the maximum size of the automatically-"
"     extended stack region of the current process and each"
"     process it creates."
" PBS Pro batch scheduler (www.altair.com) is used with"
"   placement sets to ensure each MPI job is assigned to"
"   a topologically compact set of nodes"
" BIOS settings:"
"   AMI BIOS version 8.15"
