valid,0,"(NOT AVAILABLE)"

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NA,NA,NA,NA,NA,,,,,
104.milc,NA,NA,NA,NA,NA,,,,,
104.milc,NA,NA,NA,NA,NA,,,,,
107.leslie3d,NA,NA,NA,NA,NA,,,,,
107.leslie3d,NA,NA,NA,NA,NA,,,,,
107.leslie3d,NA,NA,NA,NA,NA,,,,,
113.GemsFDTD,NA,NA,NA,NA,NA,,,,,
113.GemsFDTD,NA,NA,NA,NA,NA,,,,,
113.GemsFDTD,NA,NA,NA,NA,NA,,,,,
115.fds4,NA,NA,NA,NA,NA,,,,,
115.fds4,NA,NA,NA,NA,NA,,,,,
115.fds4,NA,NA,NA,NA,NA,,,,,
121.pop2,NA,NA,NA,NA,NA,,,,,
121.pop2,NA,NA,NA,NA,NA,,,,,
121.pop2,NA,NA,NA,NA,NA,,,,,
122.tachyon,NA,NA,NA,NA,NA,,,,,
122.tachyon,NA,NA,NA,NA,NA,,,,,
122.tachyon,NA,NA,NA,NA,NA,,,,,
126.lammps,NA,NA,NA,NA,NA,,,,,
126.lammps,NA,NA,NA,NA,NA,,,,,
126.lammps,NA,NA,NA,NA,NA,,,,,
127.wrf2,NA,NA,NA,NA,NA,,,,,
127.wrf2,NA,NA,NA,NA,NA,,,,,
127.wrf2,NA,NA,NA,NA,NA,,,,,
128.GAPgeofem,NA,NA,NA,NA,NA,,,,,
128.GAPgeofem,NA,NA,NA,NA,NA,,,,,
128.GAPgeofem,NA,NA,NA,NA,NA,,,,,
129.tera_tf,NA,NA,NA,NA,NA,,,,,
129.tera_tf,NA,NA,NA,NA,NA,,,,,
129.tera_tf,NA,NA,NA,NA,NA,,,,,
130.socorro,NA,NA,NA,NA,NA,,,,,
130.socorro,NA,NA,NA,NA,NA,,,,,
130.socorro,NA,NA,NA,NA,NA,,,,,
132.zeusmp2,NA,NA,NA,NA,NA,,,,,
132.zeusmp2,NA,NA,NA,NA,NA,,,,,
132.zeusmp2,NA,NA,NA,NA,NA,,,,,
137.lu,NA,NA,NA,NA,NA,,,,,
137.lu,NA,NA,NA,NA,NA,,,,,
137.lu,NA,NA,NA,NA,NA,,,,,

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NA,NA,NA,NA,NA,,,,,NR
107.leslie3d,NA,NA,NA,NA,NA,,,,,NR
113.GemsFDTD,NA,NA,NA,NA,NA,,,,,NR
115.fds4,NA,NA,NA,NA,NA,,,,,NR
121.pop2,NA,NA,NA,NA,NA,,,,,NR
122.tachyon,NA,NA,NA,NA,NA,,,,,NR
126.lammps,NA,NA,NA,NA,NA,,,,,NR
127.wrf2,NA,NA,NA,NA,NA,,,,,NR
128.GAPgeofem,NA,NA,NA,NA,NA,,,,,NR
129.tera_tf,NA,NA,NA,NA,NA,,,,,NR
130.socorro,NA,NA,NA,NA,NA,,,,,NR
132.zeusmp2,NA,NA,NA,NA,NA,,,,,NR
137.lu,NA,NA,NA,NA,NA,,,,,NR

SPECmpiM_base2007,NA,,NA
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",045

"System Vendor:","Colfax International"
"System Name:","Barcelona Cluster"
"Date tested:",Sep-2007
"MPI2007 License:",021
"Test sponsor:","Scali, Inc."
"Tested by:","Scali, Inc."
"Hardware avail:",Sep-2007
"Software avail:",Aug-2007

"REASON FOR NON-AVAILABILITY"
---------------------------------------------------------------------------
"SPEC has determined that this result was not in compliance"
"with the SPEC MPI2007 run and reporting rules. Specifically,"
"the processor vendor reported that the processor would not"
"meet the SPEC HPG requirements for continued availability."
---------------------------------------------------------------------------


"Node Description: H8DMU"

HARDWARE

"Number of nodes",8
"Uses of the node",compute
Vendor,SuperMicro
Model,H8DMU+
"CPU Name","AMD Opteron CPU 2350"
"CPU(s) orderable","1 or 2 chips"
"Chips enabled",2
"Cores enabled",8
"Cores per chip",4
"Threads per core",1
"CPU Characteristics","Quad-Core AMD Opteron Processor 2350 (Barcelona)"
"CPU MHz",2000
"Primary Cache","64 KB I + 64 KB D on chip per core"
"Secondary Cache","512 KB I+D on chip per core"
"L3 Cache","2 MB I+D on chip per chip"
"Other Cache",None
Memory,"16 GB (8 x 2 GB DDR2 667 Micron)"
"Disk Subsystem","400GB Seagate SATA, 7200RPM"
"Other Hardware",None
Adapter,"Ethernet controller: nVidia Corporation MCP55"
,Ethernet
"Number of Adapters",2
"Slot Type","PCIe x8"
"Data Rate","1 Gbps Ethernet"
"Ports Used",1
"Interconnect Type","Gigabit Ethernet"
Adapter,"Mellanox ConnectX DDR, board id MT_04A0110002"
"Number of Adapters",1
"Slot Type","PCIe x8"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",1
"Interconnect Type",Infiniband

SOFTWARE

Adapter,"Ethernet controller: nVidia Corporation MCP55"
,Ethernet
"Adapter Driver","OS default"
"Adapter Firmware",Unknown
Adapter,"Mellanox ConnectX DDR, board id MT_04A0110002"
"Adapter Driver","OFED 1.2.5"
"Adapter Firmware",2.2.000
"Operating System","CentOS release 4.5 (Final), 2.6.9-55.0.2.ELsmp"
"Local File System",ext3
"Shared File System",NFS
"System State",Multi-user
"Other Software",None


"Node Description: X4100"

HARDWARE

"Number of nodes",1
"Uses of the node",fileserver
Vendor,"Sun Microsystems, Inc."
Model,"Sun Fire X4100"
"CPU Name","AMD Opteron 285"
"CPU(s) orderable","1-2 chip"
"Chips enabled",2
"Cores enabled",4
"Cores per chip",2
"Threads per core",1
"CPU Characteristics","Dual Core AMD Opteron Processor 285"
"CPU MHz",2600
"Primary Cache","64 KB I + 64 KB D on chip per core"
"Secondary Cache","1 MB I+D on chip per chip"
"L3 Cache",None
"Other Cache",None
Memory,"8 GB (8 x 1GB DDR2/667 ECC registered DIMMs)"
"Disk Subsystem","2x SAS 10k RPM mirrored"
"Other Hardware",None
Adapter,"Intel Corporation 82546EB Gigabit Ethernet"
,Controller
"Number of Adapters",4
"Slot Type","PCIe x8"
"Data Rate","1 Gbps Ethernet"
"Ports Used",1
"Interconnect Type","Gigabit Ethernet"

SOFTWARE

Adapter,"Intel Corporation 82546EB Gigabit Ethernet"
,Controller
"Adapter Driver","OS default"
"Adapter Firmware",Unknown
"Operating System","CentOS release 4.5 (Final), 2.6.9-55.0.2.ELsmp"
"Local File System",ext3
"Shared File System",NFS
"System State",Multi-user
"Other Software",None


"Interconnect Description: mpiComm"

HARDWARE

Vendor,Voltaire
