valid,0,(NON-COMPLIANT)

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NC,NC,NC,NC,NC,,,,,
104.milc,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NC,NC,NC,NC,NC,,,,,NR
107.leslie3d,NC,NC,NC,NC,NC,,,,,NR
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,NR
115.fds4,NC,NC,NC,NC,NC,,,,,NR
121.pop2,NC,NC,NC,NC,NC,,,,,NR
122.tachyon,NC,NC,NC,NC,NC,,,,,NR
126.lammps,NC,NC,NC,NC,NC,,,,,NR
127.wrf2,NC,NC,NC,NC,NC,,,,,NR
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,NR
129.tera_tf,NC,NC,NC,NC,NC,,,,,NR
130.socorro,NC,NC,NC,NC,NC,,,,,NR
132.zeusmp2,NC,NC,NC,NC,NC,,,,,NR
137.lu,NC,NC,NC,NC,NC,,,,,NR

SPECmpiM_base2007,NC,,NC
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",001

"System Vendor:","Intel Corporation"
"System Name:","Endeavor (Intel Xeon X5560, 2.80 GHz, SMT off, Turbo off)"
"Date tested:",Mar-2009
"MPI2007 License:",13
"Test sponsor:","Intel Corporation"
"Tested by:","Pavel Shelepugin"
"Hardware avail:",Mar-2009
"Software avail:",Jun-2009

"REASON FOR NON-COMPLIANCE"
---------------------------------------------------------------------------
"SPEC has determined that this result was not in compliance with"
"the SPEC MPI2007 run and reporting rules. Specifically, the"
"result does not comply with the recent interpretation changes to"
"run rule 3.2.6 in the latest version. Replacement results can be"
"found at http://www.spec.org/mpi2007/results/res2009q3/mpi2007-20090825-00173.html"
---------------------------------------------------------------------------


"Node Description: Endeavor Node"

HARDWARE

"Number of nodes",64
"Uses of the node",compute
Vendor,Intel
Model,"Supermicro X8DTN+"
"CPU Name","Intel Xeon X5560"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",8
"Cores per chip",4
"Threads per core",1
"CPU Characteristics","Intel Turbo Boost Technology disabled, 6.4 GT/s"
,"QPI, Hyper-Threading disabled"
"CPU MHz",2800
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","256 KB I+D on chip per core"
"L3 Cache","8 MB I+D on chip per chip, 8 MB shared / 4 cores"
"Other Cache",None
Memory,"18 GB (RDIMM 6x2-GB, 6x1-GB DDR3-1066 MHz)"
"Disk Subsystem","Seagate 500 GB ST3500320NS"
"Other Hardware",None
Adapter,"Mellanox MHQH29-XTC"
"Number of Adapters",1
"Slot Type","PCIe x8 Gen2"
"Data Rate","InfiniBand 4x QDR"
"Ports Used",1
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MHQH29-XTC"
"Adapter Driver","OFED 1.3.1"
"Adapter Firmware",2.5.9
"Operating System","Red Hat EL 5.2, kernel 2.6.18-53"
"Local File System",Linux/ext2
"Shared File System","Lustre FS"
"System State",Multi-User
"Other Software","PBS Pro 8.0"


"Node Description: LFS"

HARDWARE

"Number of nodes",8
"Uses of the node",fileserver
Vendor,"DataDirect Networks"
Model,SR1560SF
"CPU Name","Intel Xeon E5462"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",8
"Cores per chip",4
"Threads per core",1
"CPU Characteristics","1600 MHz FSB"
"CPU MHz",2800
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","12 MB I+D on chip per chip, 6 MB shared / 2 cores"
"L3 Cache",None
"Other Cache",None
Memory,"16 GB DDR2 16x1-GB 667 MHz"
"Disk Subsystem","160 disks, 300GB/disk, 48TB total, 35TB available"
"Other Hardware",None
