valid,0,(NON-COMPLIANT)

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
121.pop2,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
125.RAxML,NC,NC,NC,NC,NC,,,,,
125.RAxML,NC,NC,NC,NC,NC,,,,,
125.RAxML,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
142.dmilc,NC,NC,NC,NC,NC,,,,,
142.dmilc,NC,NC,NC,NC,NC,,,,,
142.dmilc,NC,NC,NC,NC,NC,,,,,
143.dleslie,NC,NC,NC,NC,NC,,,,,
143.dleslie,NC,NC,NC,NC,NC,,,,,
143.dleslie,NC,NC,NC,NC,NC,,,,,
145.lGemsFDTD,NC,NC,NC,NC,NC,,,,,
145.lGemsFDTD,NC,NC,NC,NC,NC,,,,,
145.lGemsFDTD,NC,NC,NC,NC,NC,,,,,
147.l2wrf2,NC,NC,NC,NC,NC,,,,,
147.l2wrf2,NC,NC,NC,NC,NC,,,,,
147.l2wrf2,NC,NC,NC,NC,NC,,,,,

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
121.pop2,NC,NC,NC,NC,NC,,,,,NR
122.tachyon,NC,NC,NC,NC,NC,,,,,NR
125.RAxML,NC,NC,NC,NC,NC,,,,,NR
126.lammps,NC,NC,NC,NC,NC,,,,,NR
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,NR
129.tera_tf,NC,NC,NC,NC,NC,,,,,NR
132.zeusmp2,NC,NC,NC,NC,NC,,,,,NR
137.lu,NC,NC,NC,NC,NC,,,,,NR
142.dmilc,NC,NC,NC,NC,NC,,,,,NR
143.dleslie,NC,NC,NC,NC,NC,,,,,NR
145.lGemsFDTD,NC,NC,NC,NC,NC,,,,,NR
147.l2wrf2,NC,NC,NC,NC,NC,,,,,NR

SPECmpiL_base2007,NC,,NC
SPECmpiL_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",007

"System Vendor:",Huawei
"System Name:","Huawei 2488H V5"
"Date tested:",Jun-2017
"MPI2007 License:",27
"Test sponsor:",Huawei
"Tested by:",Huawei
"Hardware avail:",Jul-2017
"Software avail:",Apr-2017

"REASON FOR NON-COMPLIANCE"
---------------------------------------------------------------------------
"SPEC has determined that this result is not in compliance with the SPEC"
"MPI2007 run and reporting rules. Specifically, the result does not meet"
"the 90 day general availability requirement as the system was not available"
"within 90 days of result publication."
---------------------------------------------------------------------------


"Node Description: 2488H V5 Node"

HARDWARE

"Number of nodes",1
"Uses of the node","head, compute, fileserver"
Vendor,Huawei
Model,"Huawei 2488H V5"
"CPU Name","Intel Xeon Platinum 8180 CPU"
"CPU(s) orderable","2, 4 chip"
"Chips enabled",4
"Cores enabled",112
"Cores per chip",28
"Threads per core",1
"CPU Characteristics","Intel Turbo Boost Technology on,"
,"Hyper-Threading Technology (SMT) disable"
"CPU MHz",2500
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","1 MB I+D on chip per core"
"L3 Cache","38.5 MB I+D on chip per chip"
"Other Cache",None
Memory,"768 GB (24 x 32 GB 2Rx4 PC4-2666V, running at"
,"2666 MHz)"
"Disk Subsystem","2 x 600 GB 10K RPM SAS"
"Other Hardware",None
Adapter,0
"Number of Adapters",0
"Slot Type",0
"Data Rate",0
"Ports Used",0
"Interconnect Type",0

SOFTWARE

Adapter,0
"Adapter Driver",0
"Adapter Firmware",--
"Operating System","Red Hat Enterprise Linux Server 7.3"
,(Maipo)
,"Linux kernel 3.10.0-514.el7.x86_64"
"Local File System",xfs
"Shared File System",None
"System State",Multi-User
"Other Software",None


"BENCHMARK DETAILS"

"Type of System",Homogeneous
"Total Compute Nodes",1
"Total Chips",4
"Total Cores",112
"Total Threads",112
"Total Memory","768 GB"
"Base Ranks Run",112
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"C Compiler","Intel C++ Composer XE 2017 for Linux,"
,"Version 17.0.4.196 Build 20170411"
"C++ Compiler","Intel C++ Composer XE 2017 for Linux,"
,"Version 17.0.4.196 Build 20170411"
"Fortran Compiler","Intel Fortran Composer XE 2017 for Linux,"
,"Version 17.0.4.196 Build 20170411"
"Base Pointers",64-bit
"Peak Pointers",64-bit
"MPI Library","Intel MPI Library for Linux,"
,"Version 2017 Update 3 Build 20170405"
"Other MPI Info",None
Pre-processors,No
"Other Software",None

"Submit Notes"

"The config file option 'submit' was used."

"General Notes"

" MPI startup command:"
"   mpiexec.hydra command was used to start MPI jobs."

" BIOS settings:"
"   Intel Hyper-Threading Technology (SMT):Disable"
"   Intel Turbo Boost Technology (Turbo):Enabled (default is Enabled)"

"Base Compiler Invocation"
121.pop2," mpiicc"," mpiifort"," mpiifort"
122.tachyon," mpiicc"," mpiicc"
125.RAxML," mpiicc"," mpiicc"
126.lammps," mpiicpc"," mpiicpc"
128.GAPgeofem," mpiicc"," mpiifort"," mpiicc"," mpiifort"
129.tera_tf," mpiifort"," mpiifort"
132.zeusmp2," mpiicc"," mpiifort"," mpiifort"
137.lu," mpiifort"," mpiifort"
142.dmilc," mpiicc"," mpiicc"
143.dleslie," mpiifort"," mpiifort"
145.lGemsFDTD," mpiifort"," mpiifort"
147.l2wrf2," mpiicc"," mpiifort"," mpiifort"

"Base Portability Flags"
121.pop2," -DSPEC_MPI_CASE_FLAG"
122.tachyon
125.RAxML
126.lammps," -DMPICH_IGNORE_CXX_SEEK"
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Base Optimization Flags"
121.pop2," -O3"," -xCORE-AVX2"," -no-prec-div"
122.tachyon," -O3"," -xCORE-AVX2"," -no-prec-div"
125.RAxML," -O3"," -xCORE-AVX2"," -no-prec-div"
126.lammps," -O3"," -xCORE-AVX2"," -no-prec-div"
128.GAPgeofem," -O3"," -xCORE-AVX2"," -no-prec-div"
129.tera_tf," -O3"," -xCORE-AVX2"," -no-prec-div"
132.zeusmp2," -O3"," -xCORE-AVX2"," -no-prec-div"
137.lu," -O3"," -xCORE-AVX2"," -no-prec-div"
142.dmilc," -O3"," -xCORE-AVX2"," -no-prec-div"
143.dleslie," -O3"," -xCORE-AVX2"," -no-prec-div"
145.lGemsFDTD," -O3"," -xCORE-AVX2"," -no-prec-div"
147.l2wrf2," -O3"," -xCORE-AVX2"," -no-prec-div"

"Base Other Flags"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Base Forbidden Flags"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Base Unknown Flags"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Peak Compiler Invocation"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Peak Portability Flags"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Peak Optimization Flags"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Peak Other Flags"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Peak Forbidden Flags"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2

"Peak Unknown Flags"
121.pop2
122.tachyon
125.RAxML
126.lammps
128.GAPgeofem
129.tera_tf
132.zeusmp2
137.lu
142.dmilc
143.dleslie
145.lGemsFDTD
147.l2wrf2
----------------
"For questions about","this result, please","contact the tester.",
"For other inquiries,","please contact",webmaster@spec.org.,
"Copyright 2006-2010 Standard","Performance Evaluation",Corporation,
"Tested with SPEC MPI2007 ","v2.0.1.  Report","generated on ","Mon Jul 30 15:27:00 2018","by SPEC MPI2007 CSV","formatter v1463."
"Originally published on ","11 July 2017."
