Sensitivities for each species and rate constant versus time

A

Time 	k1	k2	k3	
0	-72.5259	72.5259	0	
0.1	-22.8354	22.8354	-5.68696	
0.2	-24.9624	24.9624	-10.919	
0.3	-21.2421	21.2421	-9.33146	
0.4	-21.3976	21.3976	-8.47296	
0.5	-24.2911	24.2911	-12.9716	
0.6	-26.3513	26.3513	-19.2612	
0.7	-22.9955	22.9955	-16.3834	
0.8	-23.0166	23.0166	-17.5839	
0.9	-22.6157	22.6157	-18.3004	
1	-21.8056	21.8056	-17.9771	
1.1	-21.6513	21.6513	-19.38	
1.2	-19.8114	19.8114	-17.8126	
1.3	-17.9603	17.9603	-16.18	
1.4	-18.6815	18.6815	-17.9082	
1.5	-18.729	18.729	-18.847	
1.6	-19.4701	19.4701	-20.6262	
1.7	-19.9981	19.9981	-23.4846	
1.8	-19.4001	19.4001	-21.8817	
1.9	-17.4545	17.4545	-18.9272	
2	-16.7299	16.7299	-17.918	
2.1	-17.2138	17.2138	-19.5629	
2.2	-14.7194	14.7194	-16.4226	
2.3	-13.6709	13.6709	-15.3927	
2.4	-13.043	13.043	-14.7613	
2.5	-11.8512	11.8512	-13.213	
2.6	-9.92796	9.92796	-11.0233	
2.7	-8.72263	8.72263	-9.6959	
2.8	-7.94392	7.94392	-9.03441	
2.9	-6.33644	6.33644	-6.9725	
3	-5.64393	5.64393	-6.3149	
3.1	-5.32735	5.32735	-5.50067	
3.2	-5.00041	5.00041	-5.55574	
3.3	-5.35518	5.35518	-6.19521	
3.4	-3.92676	3.92676	-4.38757	
3.5	-4.07393	4.07393	-4.71106	
3.6	-4.08336	4.08336	-5.01629	
3.7	-3.68123	3.68123	-4.34531	
3.8	-3.28947	3.28947	-3.84082	
3.9	-2.72749	2.72749	-3.04584	
4	-2.30114	2.30114	-2.60391	
4.1	-2.34531	2.34531	-2.85003	
4.2	-2.40934	2.40934	-3.0494	
4.3	-2.10719	2.10719	-2.77055	
4.4	-2.29297	2.29297	-2.99747	
4.5	-2.37726	2.37726	-3.07756	
4.6	-2.53006	2.53006	-3.42994	
4.7	-2.35275	2.35275	-3.23908	
4.8	-2.13508	2.13508	-3.04044	
4.9	-2.03767	2.03767	-3.04874	
5	-1.93818	1.93818	-2.99311	
5.1	-1.58169	1.58169	-2.43175	
5.2	-1.53661	1.53661	-2.4608	
5.3	-1.41649	1.41649	-2.30837	
5.4	-1.4292	1.4292	-2.34177	
5.5	-1.52868	1.52868	-2.4768	
5.6	-1.55915	1.55915	-2.58501	
5.7	-1.48444	1.48444	-2.4664	
5.8	-1.29459	1.29459	-2.1358	
5.9	-1.26554	1.26554	-2.07963	
6	-0.937131	0.937131	-1.46423	
6.1	-0.923043	0.923043	-1.49029	
6.2	-0.930276	0.930276	-1.50265	
6.3	-0.894605	0.894605	-1.40167	
6.4	-0.839516	0.839516	-1.37255	
6.5	-0.728638	0.728638	-1.18945	
6.6	-0.734361	0.734361	-1.19931	
6.7	-0.740085	0.740085	-1.20917	
6.8	-0.622405	0.622405	-1.03259	
6.9	-0.558769	0.558769	-0.877473	
7	-0.561991	0.561991	-0.883096	
7.1	-0.565213	0.565213	-0.888719	
7.2	-0.484721	0.484721	-0.775971	
7.3	-0.314589	0.314589	-0.462859	
7.4	-0.150087	0.150087	-0.21638	
7.5	-0.150675	0.150675	-0.21731	
7.6	-0.151263	0.151263	-0.218239	
7.7	-0.151851	0.151851	-0.219168	
7.8	-0.15244	0.15244	-0.220097	
7.9	-0.153028	0.153028	-0.221027	
8	-0.153616	0.153616	-0.221956	
8.1	-0.154204	0.154204	-0.222885	
8.2	-0.154792	0.154792	-0.223814	
8.3	-0.155381	0.155381	-0.224744	
8.4	-0.155969	0.155969	-0.225673	
8.5	-0.156557	0.156557	-0.226602	
8.6	-0.157145	0.157145	-0.227531	
8.7	-0.157733	0.157733	-0.22846	
8.8	-0.158322	0.158322	-0.22939	
8.9	-0.15891	0.15891	-0.230319	
9	0	0	0	
9.1	0	0	0	
9.2	0	0	0	
9.3	0	0	0	
9.4	0	0	0	
9.5	0	0	0	
9.6	0	0	0	
9.7	0	0	0	
9.8	0	0	0	
9.9	0	0	0	
10	0	0	0	

=======================================

B

Time 	k1	k2	k3	
0	72.5259	-72.5259	0	
0.1	14.8619	-14.8619	-5.99407	
0.2	14.0395	-14.0395	-7.4571	
0.3	12.8849	-12.8849	-5.53711	
0.4	12.8346	-12.8346	-5.2619	
0.5	9.39683	-9.39683	-10.4267	
0.6	6.19049	-6.19049	-13.9139	
0.7	5.50349	-5.50349	-13.9629	
