Species mean populations versus time

Time 	A	B	C	
0	62.7101	37.2899	0	
0.1	54.509	36.291	9.2	
0.2	50.635	33.545	15.82	
0.3	47.7249	31.6351	20.64	
0.4	45.2226	29.8574	24.92	
0.5	41.8681	28.1719	29.96	
0.6	38.427	26.093	35.48	
0.7	35.8537	23.9663	40.18	
0.8	33.6094	22.2906	44.1	
0.9	31.0497	20.7703	48.18	
1	28.9028	19.0572	52.04	
1.1	26.5761	17.5439	55.88	
1.2	24.836	16.524	58.64	
1.3	22.6963	15.1237	62.18	
1.4	20.9801	13.7399	65.28	
1.5	19.2648	12.7752	67.96	
1.6	17.7669	12.0531	70.18	
1.7	16.7655	11.0745	72.16	
1.8	15.7306	10.3494	73.92	
1.9	14.3991	9.48088	76.12	
2	13.0288	8.63118	78.34	
2.1	11.9314	7.9086	80.16	
2.2	10.9028	7.29716	81.8	
2.3	9.94998	6.59002	83.46	
2.4	9.12252	6.01748	84.86	
2.5	8.3752	5.4848	86.14	
2.6	7.69274	5.08726	87.22	
2.7	6.9873	4.7327	88.28	
2.8	6.39894	4.26106	89.34	
2.9	5.78018	3.91982	90.3	
3	5.30344	3.51656	91.18	
3.1	4.8481	3.2719	91.88	
3.2	4.47042	2.98958	92.54	
3.3	4.03396	2.68604	93.28	
3.4	3.665	2.435	93.9	
3.5	3.3884	2.2316	94.38	
3.6	3.0514	2.0086	94.94	
3.7	2.73638	1.80362	95.46	
3.8	2.49718	1.66282	95.84	
3.9	2.26008	1.49992	96.24	
4	2.04986	1.33014	96.62	
4.1	1.88966	1.23034	96.88	
4.2	1.66162	1.09838	97.24	
4.3	1.40702	0.93298	97.66	
4.4	1.21512	0.82488	97.96	
4.5	1.09228	0.74772	98.16	
4.6	0.9865	0.6735	98.34	
4.7	0.8455	0.5745	98.58	
4.8	0.67592	0.46408	98.86	
4.9	0.59436	0.40564	99	
5	0.5457	0.3743	99.08	
5.1	0.46892	0.31108	99.22	
5.2	0.38586	0.25414	99.36	
5.3	0.3479	0.2321	99.42	
5.4	0.3251	0.2149	99.46	
5.5	0.30112	0.19888	99.5	
5.6	0.27792	0.18208	99.54	
5.7	0.25394	0.16606	99.58	
5.8	0.22964	0.15036	99.62	
5.9	0.19358	0.12642	99.68	
6	0.1433	0.0967	99.76	
6.1	0.13118	0.08882	99.78	
6.2	0.13118	0.08882	99.78	
6.3	0.1193	0.0807	99.8	
6.4	0.09498	0.06502	99.84	
6.5	0.08324	0.05676	99.86	
6.6	0.08324	0.05676	99.86	
6.7	0.08324	0.05676	99.86	
6.8	0.0709	0.0491	99.88	
6.9	0.04664	0.03336	99.92	
7	0.04664	0.03336	99.92	
7.1	0.04664	0.03336	99.92	
7.2	0.03522	0.02478	99.94	
7.3	0.02366	0.01634	99.96	
7.4	0.01266	0.00734	99.98	
7.5	0.01266	0.00734	99.98	
7.6	0.01266	0.00734	99.98	
7.7	0.01266	0.00734	99.98	
7.8	0.01266	0.00734	99.98	
7.9	0.01266	0.00734	99.98	
8	0.01266	0.00734	99.98	
8.1	0.01266	0.00734	99.98	
8.2	0.01266	0.00734	99.98	
8.3	0.01266	0.00734	99.98	
8.4	0.01266	0.00734	99.98	
8.5	0.01266	0.00734	99.98	
8.6	0.01266	0.00734	99.98	
8.7	0.01266	0.00734	99.98	
8.8	0.01266	0.00734	99.98	
8.9	0.01266	0.00734	99.98	
9	0	0	100	
9.1	0	0	100	
9.2	0	0	100	
9.3	0	0	100	
9.4	0	0	100	
9.5	0	0	100	
9.6	0	0	100	
9.7	0	0	100	
9.8	0	0	100	
9.9	0	0	100	
10	0	0	100	
