valid,0,(NON-COMPLIANT)

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NC,NC,NC,NC,NC,,,,,
104.milc,NC,NC,NC,NC,NC,,,,,
104.milc,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NC,NC,NC,NC,NC,,,,,NR
107.leslie3d,NC,NC,NC,NC,NC,,,,,NR
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,NR
115.fds4,NC,NC,NC,NC,NC,,,,,NR
121.pop2,NC,NC,NC,NC,NC,,,,,NR
122.tachyon,NC,NC,NC,NC,NC,,,,,NR
126.lammps,NC,NC,NC,NC,NC,,,,,NR
127.wrf2,NC,NC,NC,NC,NC,,,,,NR
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,NR
129.tera_tf,NC,NC,NC,NC,NC,,,,,NR
130.socorro,NC,NC,NC,NC,NC,,,,,NR
132.zeusmp2,NC,NC,NC,NC,NC,,,,,NR
137.lu,NC,NC,NC,NC,NC,,,,,NR

SPECmpiM_base2007,NC,,NC
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",018

"System Vendor:","Linux Networx"
"System Name:","LS-1, Scali MPI Connect 5.6.1, Intel 10.1 compilers"
"Date tested:",Feb-2008
"MPI2007 License:",021
"Test sponsor:","Scali, Inc"
"Tested by:","Scali, Inc"
"Hardware avail:",Sep-2007
"Software avail:",Feb-2008

"REASON FOR NON-COMPLIANCE"
---------------------------------------------------------------------------
" SPEC has determined that this result was not in compliance with the SPEC"
" MPI2007 run and reporting rules.  Specifically, the result did not meet the"
" requirement for baseline optimization flags to not use assertion flags (the"
" flag -fno-alias is a violation of this rule). The result was found to be"
" performance neutral compared to runs without -fno-alias. Replacement"
" results could not be produced because of system access limitations."
---------------------------------------------------------------------------


"Node Description: Linux Networx LS-1"

HARDWARE

"Number of nodes",8
"Uses of the node",compute
Vendor,"Linux Networx, Inc."
Model,LS-1
"CPU Name","Intel Xeon 5160"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",4
"Cores per chip",2
"Threads per core",1
"CPU Characteristics","1333 Mhz FSB"
"CPU MHz",3000
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","4 MB I+D on chip per chip"
"L3 Cache",None
"Other Cache",None
Memory,"8 GB (8 x 1GB DIMMs 667 MHz)"
"Disk Subsystem","250GB SAS hard drive"
"Other Hardware",None
Adapter,"Mellanox MHGA28-XTC"
,"PCI-Express DDR InfiniBand HCA"
"Number of Adapters",1
"Slot Type","PCIe x8"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",1
"Interconnect Type",Infiniband

SOFTWARE

Adapter,"Mellanox MHGA28-XTC"
,"PCI-Express DDR InfiniBand HCA"
"Adapter Driver","IBGD 1.8.2"
"Adapter Firmware",5.1.4
"Operating System","SLES9 SP3"
"Local File System","Not applicable"
"Shared File System",GPFS
"System State",multi-user
"Other Software",None


"Node Description: Linux Networx LS1 I/O Nodes"

HARDWARE

"Number of nodes",8
"Uses of the node","file server"
Vendor,"Linux Networx, Inc."
Model,LS1
"CPU Name","Intel Xeon 5150"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",4
"Cores per chip",2
"Threads per core",1
"CPU Characteristics","1333 Mhz FSB"
"CPU MHz",2660
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","4 MB I+D on chip per chip"
"L3 Cache",None
"Other Cache",None
Memory,"4 GB (4 x 1GB DIMMs 667 MHz)"
"Disk Subsystem","18 TB SAN interconnected by FC4"
"Other Hardware",None
Adapter,"Mellanox MHGA28-XTC"
,"PCI-X DDR InfiniBand HCA"
"Number of Adapters",1
"Slot Type","PCIe x8"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",1
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MHGA28-XTC"
,"PCI-X DDR InfiniBand HCA"
"Adapter Driver","IBGD 1.8.2"
"Adapter Firmware",5.2.0
"Operating System","SLES9 SP3"
"Local File System","Not applicable"
"Shared File System",GPFS
"System State",multi-user
"Other Software",None


"Interconnect Description: InfiniBand"

HARDWARE

Vendor,QLogic
Model,"QLogic Silverstorm 9120 Fabric Director"
"Switch Model",9120
"Number of Switches",1
"Number of Ports",144
"Data Rate","InfiniBand 4x SDR and InfiniBand 4x DDR"
Firmware,4.1.1.1.11
Topology,"Single switch (star)"
