valid,1

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,32,789.852501,1.981383,0,S,,,,,,"mref(ref) iteration #1"
104.milc,32,789.934765,1.981176,1,S,,,,,,"mref(ref) iteration #2"
107.leslie3d,32,1870.837402,2.790194,1,S,,,,,,"mref(ref) iteration #1"
107.leslie3d,32,1870.388791,2.790864,0,S,,,,,,"mref(ref) iteration #2"
113.GemsFDTD,32,1427.137654,4.420036,1,S,,,,,,"mref(ref) iteration #1"
113.GemsFDTD,32,1425.570966,4.424894,0,S,,,,,,"mref(ref) iteration #2"
115.fds4,32,852.098203,2.289642,1,S,,,,,,"mref(ref) iteration #1"
115.fds4,32,852.011636,2.289875,0,S,,,,,,"mref(ref) iteration #2"
121.pop2,32,833.038879,4.955351,1,S,,,,,,"mref(ref) iteration #1"
121.pop2,32,829.388226,4.977163,0,S,,,,,,"mref(ref) iteration #2"
122.tachyon,32,676.488887,4.134584,1,S,,,,,,"mref(ref) iteration #1"
122.tachyon,32,675.972282,4.137744,0,S,,,,,,"mref(ref) iteration #2"
126.lammps,32,892.589156,3.26578,0,S,,,,,,"mref(ref) iteration #1"
126.lammps,32,896.360973,3.252038,1,S,,,,,,"mref(ref) iteration #2"
127.wrf2,32,1418.839289,5.494632,1,S,,,,,,"mref(ref) iteration #1"
127.wrf2,32,1418.674226,5.495271,0,S,,,,,,"mref(ref) iteration #2"
128.GAPgeofem,32,715.362177,2.88665,1,S,,,,,,"mref(ref) iteration #1"
128.GAPgeofem,32,713.634231,2.893639,0,S,,,,,,"mref(ref) iteration #2"
129.tera_tf,32,640.895759,4.318955,1,S,,,,,,"mref(ref) iteration #1"
129.tera_tf,32,629.306228,4.398495,0,S,,,,,,"mref(ref) iteration #2"
130.socorro,32,1772.101187,2.15394,0,S,,,,,,"mref(ref) iteration #1"
130.socorro,32,1773.090597,2.152738,1,S,,,,,,"mref(ref) iteration #2"
132.zeusmp2,32,922.234196,3.364655,1,S,,,,,,"mref(ref) iteration #1"
132.zeusmp2,32,917.209733,3.383087,0,S,,,,,,"mref(ref) iteration #2"
137.lu,32,1542.534175,2.383091,1,S,,,,,,"mref(ref) iteration #1"
137.lu,32,1540.739737,2.385867,0,S,,,,,,"mref(ref) iteration #2"

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,32,789.934765,1.981176,1,S,,,,,NR,"SelectedIteration (base #2)"
107.leslie3d,32,1870.837402,2.790194,1,S,,,,,NR,"SelectedIteration (base #1)"
113.GemsFDTD,32,1427.137654,4.420036,1,S,,,,,NR,"SelectedIteration (base #1)"
115.fds4,32,852.098203,2.289642,1,S,,,,,NR,"SelectedIteration (base #1)"
121.pop2,32,833.038879,4.955351,1,S,,,,,NR,"SelectedIteration (base #1)"
122.tachyon,32,676.488887,4.134584,1,S,,,,,NR,"SelectedIteration (base #1)"
126.lammps,32,896.360973,3.252038,1,S,,,,,NR,"SelectedIteration (base #2)"
127.wrf2,32,1418.839289,5.494632,1,S,,,,,NR,"SelectedIteration (base #1)"
128.GAPgeofem,32,715.362177,2.88665,1,S,,,,,NR,"SelectedIteration (base #1)"
129.tera_tf,32,640.895759,4.318955,1,S,,,,,NR,"SelectedIteration (base #1)"
130.socorro,32,1773.090597,2.152738,1,S,,,,,NR,"SelectedIteration (base #2)"
132.zeusmp2,32,922.234196,3.364655,1,S,,,,,NR,"SelectedIteration (base #1)"
137.lu,32,1542.534175,2.383091,1,S,,,,,NR,"SelectedIteration (base #1)"

SPECmpiM_base2007,3.244084,,3.244084
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",102

"System Vendor:",SGI
"System Name:","SGI Altix ICE 8200EX (Intel Xeon X5472, 3.00 GHz)"
"Date tested:",May-2008
"MPI2007 License:",4
"Test sponsor:",SGI
"Tested by:",SGI
"Hardware avail:",Mar-2008
"Software avail:",Apr-2008


"Node Description: SGI Altix ICE 8200EX Compute Node"

HARDWARE

"Number of nodes",4
"Uses of the node",compute
Vendor,SGI
Model,"SGI Altix ICE 8200EX (Intel Xeon X5472, 3.00 GHz)"
"CPU Name","Intel Xeon X5472"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",8
"Cores per chip",4
"Threads per core",1
"CPU Characteristics","Quad Core, 3.0GHz"
"CPU MHz",3000
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","12 MB I+D on chip per chip, 6 MB shared / 2 cores"
"L3 Cache",None
"Other Cache",None
Memory,"16 GB (8*2GB PC2-6400 CL5-5-5 FB-DIMMs)"
"Disk Subsystem",None
"Other Hardware",None
Adapter,"Mellanox MT26418 ConnectX IB DDR"
,"(PCIe x8 Gen2 5 GT/s)"
"Number of Adapters",1
"Slot Type","PCIe x8 Gen2"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",2
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MT26418 ConnectX IB DDR"
,"(PCIe x8 Gen2 5 GT/s)"
"Adapter Driver",OFED-1.3
"Adapter Firmware",2.3.0
"Operating System","SUSE Linux Enterprise Server 10 (x86_64) SP1"
,"Kernel 2.6.16.46-0.12-smp"
"Local File System",NFSv3
"Shared File System","NFSv3 IPoIB"
"System State","Multi-user, run level 3"
"Other Software","SGI ProPack 5 for Linux Service Pack 5"


"Node Description: SGI InfiniteStorage NAS/SAN"

HARDWARE

"Number of nodes",1
"Uses of the node",fileserver
Vendor,SGI
Model,"SGI Altix 450 Density System (Itanium 2"
,"Processor 9030 1.6GHz/8M)"
"CPU Name","Dual-Core Intel Itanium 2 9030"
"CPU(s) orderable","1-38 chips"
"Chips enabled",2
"Cores enabled",4
"Cores per chip",2
"Threads per core",1
"CPU Characteristics","533 MHz FSB"
"CPU MHz",1594
"Primary Cache","16 KB I + 16 KB D on chip per core"
"Secondary Cache","1 MB I + 256 KB D on chip per core"
"L3 Cache","4 MB I+D on chip per core"
"Other Cache",None
Memory,"24 GB (6*4GB DDR2-400 DIMMS)"
"Disk Subsystem","16 TB RAID 5"
,"32 x 500 GB SATA (Seagate Barracuda 7200 rpm)"
"Other Hardware",None
Adapter,"Mellanox MT25208 InfiniHost III Ex"
,"(PCIe x8 Gen1 2.5 GT/s)"
"Number of Adapters",2
"Slot Type","PCIe x8 Gen1"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",2
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MT25208 InfiniHost III Ex"
,"(PCIe x8 Gen1 2.5 GT/s)"
"Adapter Driver",OFED-1.3
"Adapter Firmware",5.2.0
"Operating System","SUSE Linux Enterprise Server 10 (ia64) SP1"
,"Kernel 2.6.16.54-0.2.5-default"
"Local File System",xfs
"Shared File System",--
"System State","Multi-user, run level 3"
"Other Software","SGI ProPack 5 for Linux Service Pack 5"


"Interconnect Description: InfiniBand (MPI)"

HARDWARE

Vendor,"Mellanox Technologies"
Model,"MT26418 ConnectX"
"Switch Model","Mellanox MT47396 InfiniScale III"
"Number of Switches",32
"Number of Ports",24
"Data Rate","InfiniBand 4x DDR"
Firmware,2020001
Topology,Hypercube
"Primary Use","MPI traffic"


"Interconnect Description: InfiniBand (I/O)"

HARDWARE

Vendor,"Mellanox Technologies"
Model,"MT26418 ConnectX"
"Switch Model","Mellanox MT47396 InfiniScale-III"
"Number of Switches",32
"Number of Ports",24
"Data Rate","InfiniBand 4x DDR"
Firmware,2020001
Topology,Hypercube
"Primary Use","I/O traffic"


"BENCHMARK DETAILS"

"Type of System",Homogeneous
"Total Compute Nodes",4
"Total Chips",8
"Total Cores",32
"Total Threads",32
"Total Memory","64 GB"
"Base Ranks Run",32
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"C Compiler","Intel C Compiler for Linux"
,"Version 10.1, Build 20080312"
"C++ Compiler","Intel C++ Compiler for Linux"
,"Version 10.1, Build 20080312"
"Fortran Compiler","Intel Fortran Compiler for Linux"
,"Version 10.1, Build 20080312"
"Base Pointers",64-bit
"Peak Pointers",64-bit
"MPI Library","Intel MPI 3.1.038"
"Other MPI Info","OFED 1.3"
Pre-processors,None
"Other Software",None

"General Notes"

"Required alternate sources:"
"   129.tera_tf: fixbuffer"

"Base Compiler Invocation"
104.milc," mpiicc"," mpiicc"
107.leslie3d," mpiifort"," mpiifort"
113.GemsFDTD," mpiifort"," mpiifort"
115.fds4," mpiicc"," mpiifort"," mpiifort"
121.pop2," mpiicc"," mpiifort"," mpiifort"
122.tachyon," mpiicc"," mpiicc"
126.lammps," mpiicpc"," mpiicpc"
127.wrf2," mpiicc"," mpiifort"," mpiifort"
128.GAPgeofem," mpiicc"," mpiifort"," mpiicc"," mpiifort"
129.tera_tf," mpiifort"," mpiifort"
130.socorro," mpiicc"," mpiifort"," mpiifort"
132.zeusmp2," mpiicc"," mpiifort"," mpiifort"
137.lu," mpiifort"," mpiifort"

"Base Portability Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2," -DSPEC_MPI_CASE_FLAG"
122.tachyon
126.lammps," -DMPICH_IGNORE_CXX_SEEK"
127.wrf2," -DSPEC_MPI_CASE_FLAG"," -DSPEC_MPI_LINUX"
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Base Optimization Flags"
104.milc," -O3"," -ipo"," -xT"," -no-prec-div"
107.leslie3d," -O3"," -ipo"," -xT"," -no-prec-div"
113.GemsFDTD," -O3"," -ipo"," -xT"," -no-prec-div"
115.fds4," -O3"," -ipo"," -xT"," -no-prec-div"," -O3"," -ipo"," -xT"," -no-prec-div"
