valid,1

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,256,37.656341,41.560066,0,S,,,,,,"mref(ref) iteration #1"
104.milc,256,31.699391,49.370034,0,S,,,,,,"mref(ref) iteration #2"
104.milc,256,34.666012,45.145083,0,S,,,,,,"mref(ref) iteration #3"
104.milc,256,31.705661,49.36027,1,S,,,,,,"mref(ref) iteration #4"
104.milc,256,31.692309,49.381066,0,S,,,,,,"mref(ref) iteration #5"
104.milc,256,31.656225,49.437354,0,S,,,,,,"mref(ref) iteration #6"
107.leslie3d,256,125.970215,41.438367,1,S,,,,,,"mref(ref) iteration #1"
107.leslie3d,256,126.002767,41.427662,0,S,,,,,,"mref(ref) iteration #2"
107.leslie3d,256,125.683543,41.532884,0,S,,,,,,"mref(ref) iteration #3"
107.leslie3d,256,126.045953,41.413468,0,S,,,,,,"mref(ref) iteration #4"
107.leslie3d,256,125.89817,41.46208,0,S,,,,,,"mref(ref) iteration #5"
107.leslie3d,256,125.944939,41.446683,0,S,,,,,,"mref(ref) iteration #6"
113.GemsFDTD,256,197.293942,31.972599,0,S,,,,,,"mref(ref) iteration #1"
113.GemsFDTD,256,197.387338,31.95747,0,S,,,,,,"mref(ref) iteration #2"
113.GemsFDTD,256,197.55266,31.930727,0,S,,,,,,"mref(ref) iteration #3"
113.GemsFDTD,256,196.567549,32.09075,0,S,,,,,,"mref(ref) iteration #4"
113.GemsFDTD,256,197.341883,31.964831,1,S,,,,,,"mref(ref) iteration #5"
113.GemsFDTD,256,197.044058,32.013145,0,S,,,,,,"mref(ref) iteration #6"
115.fds4,256,24.493481,79.653847,0,S,,,,,,"mref(ref) iteration #1"
115.fds4,256,24.275577,80.368841,0,S,,,,,,"mref(ref) iteration #2"
115.fds4,256,24.245367,80.468982,0,S,,,,,,"mref(ref) iteration #3"
115.fds4,256,24.305793,80.26893,1,S,,,,,,"mref(ref) iteration #4"
115.fds4,256,24.288732,80.325313,0,S,,,,,,"mref(ref) iteration #5"
115.fds4,256,24.307706,80.262613,0,S,,,,,,"mref(ref) iteration #6"
121.pop2,256,255.014122,16.187339,0,S,,,,,,"mref(ref) iteration #1"
121.pop2,256,258.512035,15.968309,0,S,,,,,,"mref(ref) iteration #2"
121.pop2,256,259.375144,15.915172,1,S,,,,,,"mref(ref) iteration #3"
121.pop2,256,258.573117,15.964537,0,S,,,,,,"mref(ref) iteration #4"
121.pop2,256,260.300192,15.858613,0,S,,,,,,"mref(ref) iteration #5"
121.pop2,256,259.655475,15.897989,0,S,,,,,,"mref(ref) iteration #6"
122.tachyon,256,60.441109,46.276451,0,S,,,,,,"mref(ref) iteration #1"
122.tachyon,256,60.960352,45.882281,0,S,,,,,,"mref(ref) iteration #2"
122.tachyon,256,60.656274,46.112295,0,S,,,,,,"mref(ref) iteration #3"
122.tachyon,256,60.704114,46.075955,1,S,,,,,,"mref(ref) iteration #4"
122.tachyon,256,60.459991,46.261998,0,S,,,,,,"mref(ref) iteration #5"
122.tachyon,256,60.849532,45.965842,0,S,,,,,,"mref(ref) iteration #6"
126.lammps,256,114.243523,25.51567,0,S,,,,,,"mref(ref) iteration #1"
126.lammps,256,114.290469,25.505189,1,S,,,,,,"mref(ref) iteration #2"
126.lammps,256,113.946125,25.582265,0,S,,,,,,"mref(ref) iteration #3"
126.lammps,256,117.223795,24.866965,0,S,,,,,,"mref(ref) iteration #4"
126.lammps,256,114.374287,25.486498,0,S,,,,,,"mref(ref) iteration #5"
126.lammps,256,114.253893,25.513354,0,S,,,,,,"mref(ref) iteration #6"
127.wrf2,256,91.196436,85.485797,0,S,,,,,,"mref(ref) iteration #1"
127.wrf2,256,90.882571,85.781024,1,S,,,,,,"mref(ref) iteration #2"
127.wrf2,256,90.798868,85.860101,0,S,,,,,,"mref(ref) iteration #3"
127.wrf2,256,90.767464,85.889807,0,S,,,,,,"mref(ref) iteration #4"
127.wrf2,256,90.824452,85.835916,0,S,,,,,,"mref(ref) iteration #5"
127.wrf2,256,90.97476,85.694098,0,S,,,,,,"mref(ref) iteration #6"
128.GAPgeofem,256,34.315959,60.176083,0,S,,,,,,"mref(ref) iteration #1"
128.GAPgeofem,256,33.900742,60.913121,0,S,,,,,,"mref(ref) iteration #2"
128.GAPgeofem,256,34.295242,60.212434,1,S,,,,,,"mref(ref) iteration #3"
128.GAPgeofem,256,33.80866,61.079025,0,S,,,,,,"mref(ref) iteration #4"
128.GAPgeofem,256,34.646886,59.601316,0,S,,,,,,"mref(ref) iteration #5"
128.GAPgeofem,256,34.025386,60.68998,0,S,,,,,,"mref(ref) iteration #6"
129.tera_tf,256,67.562631,40.969393,0,S,,,,,,"mref(ref) iteration #1"
129.tera_tf,256,67.722075,40.872935,0,S,,,,,,"mref(ref) iteration #2"
129.tera_tf,256,70.648525,39.17987,0,S,,,,,,"mref(ref) iteration #3"
129.tera_tf,256,67.587289,40.954446,0,S,,,,,,"mref(ref) iteration #4"
129.tera_tf,256,67.575858,40.961374,0,S,,,,,,"mref(ref) iteration #5"
129.tera_tf,256,67.628864,40.929269,1,S,,,,,,"mref(ref) iteration #6"
130.socorro,256,58.772442,64.945404,0,S,,,,,,"mref(ref) iteration #1"
130.socorro,256,58.795673,64.919743,0,S,,,,,,"mref(ref) iteration #2"
130.socorro,256,58.879827,64.826957,1,S,,,,,,"mref(ref) iteration #3"
130.socorro,256,58.915565,64.787633,0,S,,,,,,"mref(ref) iteration #4"
130.socorro,256,61.702918,61.860932,0,S,,,,,,"mref(ref) iteration #5"
130.socorro,256,58.814934,64.898483,0,S,,,,,,"mref(ref) iteration #6"
132.zeusmp2,256,49.950908,62.120993,0,S,,,,,,"mref(ref) iteration #1"
132.zeusmp2,256,49.914855,62.165862,0,S,,,,,,"mref(ref) iteration #2"
132.zeusmp2,256,50.166149,61.854459,0,S,,,,,,"mref(ref) iteration #3"
132.zeusmp2,256,49.991755,62.070235,0,S,,,,,,"mref(ref) iteration #4"
132.zeusmp2,256,50.072555,61.970075,0,S,,,,,,"mref(ref) iteration #5"
132.zeusmp2,256,50.034869,62.016751,1,S,,,,,,"mref(ref) iteration #6"
137.lu,256,45.110549,81.4887,0,S,,,,,,"mref(ref) iteration #1"
137.lu,256,45.057898,81.583921,0,S,,,,,,"mref(ref) iteration #2"
137.lu,256,45.132662,81.448774,0,S,,,,,,"mref(ref) iteration #3"
137.lu,256,45.079785,81.544311,0,S,,,,,,"mref(ref) iteration #4"
137.lu,256,45.168533,81.384091,0,S,,,,,,"mref(ref) iteration #5"
137.lu,256,45.132317,81.449397,1,S,,,,,,"mref(ref) iteration #6"

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,256,31.705661,49.36027,1,S,,,,,NR,"SelectedIteration (base #4)"
107.leslie3d,256,125.970215,41.438367,1,S,,,,,NR,"SelectedIteration (base #1)"
113.GemsFDTD,256,197.341883,31.964831,1,S,,,,,NR,"SelectedIteration (base #5)"
115.fds4,256,24.305793,80.26893,1,S,,,,,NR,"SelectedIteration (base #4)"
121.pop2,256,259.375144,15.915172,1,S,,,,,NR,"SelectedIteration (base #3)"
122.tachyon,256,60.704114,46.075955,1,S,,,,,NR,"SelectedIteration (base #4)"
126.lammps,256,114.290469,25.505189,1,S,,,,,NR,"SelectedIteration (base #2)"
127.wrf2,256,90.882571,85.781024,1,S,,,,,NR,"SelectedIteration (base #2)"
128.GAPgeofem,256,34.295242,60.212434,1,S,,,,,NR,"SelectedIteration (base #3)"
129.tera_tf,256,67.628864,40.929269,1,S,,,,,NR,"SelectedIteration (base #6)"
130.socorro,256,58.879827,64.826957,1,S,,,,,NR,"SelectedIteration (base #3)"
132.zeusmp2,256,50.034869,62.016751,1,S,,,,,NR,"SelectedIteration (base #6)"
137.lu,256,45.132317,81.449397,1,S,,,,,NR,"SelectedIteration (base #6)"

SPECmpiM_base2007,47.796745,,47.796745
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",104

"System Vendor:","Dell Inc."
"System Name:","PowerEdge M620 (Intel Xeon E5-2680, 2.70 GHz, DDR3-1600 MHz"
"Date tested:",May-2012
"MPI2007 License:",25
"Test sponsor:",Dell
"Tested by:","Burton Finley"
"Hardware avail:",Mar-2012
"Software avail:",Sep-2011


"Node Description: PowerEdge M620"

HARDWARE

"Number of nodes",16
"Uses of the node",compute
Vendor,Dell
Model,"PowerEdge M620 Installed in PowerEdge M1000e"
,"blade chassis"
"CPU Name","Intel Xeon E5-2680"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",16
"Cores per chip",8
"Threads per core",1
"CPU Characteristics","Intel Turbo Boost Technology up to 3.5 GHz,"
,"8.0 GT/s QPI, Hyper-Threading disabled"
"CPU MHz",2700
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","256 KB I+D on chip per core"
"L3 Cache","20 MB I+D on chip per chip, 20 MB shared / 8 cores"
"Other Cache",None
Memory,"64 GB (8 x 8 GB 2Rx4 PC3-12800R-11, ECC)"
"Disk Subsystem","Seagate 146 GB SAS ST9146803SS"
"Other Hardware",None
Adapter,"Onboard Intel X520-k"
,"Ethernet Controller"
"Number of Adapters",1
"Slot Type","PCI-Express x16"
"Data Rate","1Gbps Ethernet"
"Ports Used",1
"Interconnect Type",Ethernet
Adapter,"Mellanox ConnectX2 Quad Data Rate IB PCIe 2.0"
,"(Installed in Fabric C)"
"Number of Adapters",1
"Slot Type","PCIe x8 Gen2"
"Data Rate","InfiniBand 4x QDR"
"Ports Used",1
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Onboard Intel X520-k"
,"Ethernet Controller"
"Adapter Driver",3.4.8-k
"Adapter Firmware",13.1.9
Adapter,"Mellanox ConnectX2 Quad Data Rate IB PCIe 2.0"
,"(Installed in Fabric C)"
"Adapter Driver",MLNX_OFED_LINUX-1.5.3-3.0.0-rhel6.2-x86_64
"Adapter Firmware",2.9.1000
"Operating System","Red Hat EL 6.2, kernel 2.6.32-220.el6.x86_64"
"Local File System",Linux/ext2
"Shared File System",NFS
"System State",Multi-User
"Other Software",None


"Node Description: PowerEdge R410"

HARDWARE

"Number of nodes",1
"Uses of the node",fileserver
Vendor,Intel
Model,"PowerEdge R410"
"CPU Name","Intel Xeon X5570 CPU"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",8
"Cores per chip",4
"Threads per core",1
"CPU Characteristics",N/A
"CPU MHz",2930
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","256 KB I+D on chip per core"
"L3 Cache","8 MB I+D on chip per chip"
"Other Cache",None
Memory,"32 GB"
"Disk Subsystem","1 disks, 500GB/disk"
"Other Hardware",None
Adapter,"Dual port Broadcom BCM 5716"
,"Ethernet Controller"
"Number of Adapters",1
"Slot Type",Integrated
"Data Rate","1Gbps Ethernet"
"Ports Used",1
"Interconnect Type",Ethernet

SOFTWARE

Adapter,"Dual port Broadcom BCM 5716"
,"Ethernet Controller"
"Adapter Driver",2.1.11
"Adapter Firmware",9-6.2.0.17.fw
"Operating System","Red Hat EL 6.2, kernel 2.6.32-220.el6.x86_64"
"Local File System",None
"Shared File System",NFS
"System State",Multi-User
"Other Software",None


"Interconnect Description: IB Switch"

HARDWARE

Vendor,Mellanox
Model,"Mellanox M3601Q"
"Switch Model","Mellanox M3601Q Installed in PowerEdge M1000e"
,"blade chassis (Installed in slot C1)"
"Number of Switches",1
"Number of Ports",32
"Data Rate","InfiniBand 4x QDR"
Firmware,7.4.0000
Topology,"Fat tree"
"Primary Use","MPI traffic"


"Interconnect Description: Gigabit Ethernet"

HARDWARE

Vendor,"Dell Inc."
Model,"Intel X520-k Ethernet Controller"
"Switch Model","PowerConnect M6220 (Modular Layer 3 blade switch"
,"for PowerEdge M1000e blade chassis) in slot A1"
"Number of Switches",1
"Number of Ports",20
"Data Rate","1Gbps Ethernet"
Firmware,3.1.3.9
Topology,"Fat tree"
"Primary Use","Cluster File System"


"BENCHMARK DETAILS"

"Type of System",Homogeneous
"Total Compute Nodes",16
"Total Chips",32
"Total Cores",256
"Total Threads",256
"Total Memory","1 TB"
"Base Ranks Run",256
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"C Compiler","Intel C++ Composer XE 2011 for Linux, Version"
,"12.0.5.220 Build 20110719"
"C++ Compiler","Intel C++ Composer XE 2011 for Linux, Version"
,"12.0.5.220 Build 20110719"
"Fortran Compiler","Intel Fortran Composer XE 2011 for Linux, Version"
,"12.0.5.220 Build 20110719"
"Base Pointers",64-bit
"Peak Pointers",64-bit
"MPI Library","Intel MPI Library 4.0.3.008 Build 20110824 for"
,Linux
"Other MPI Info",None
Pre-processors,No
"Other Software",None

"Submit Notes"

"The config file option 'submit' was used."

"General Notes"

"130.socorro (base): ""nullify_ptrs"" src.alt was used."

" MPI startup command:"
"   mpiexec.hydra command was used to start MPI jobs."

" BIOS settings:"
"   Intel Hyper-Threading Technology (SMT): Disabled (default is Enabled)"
"   Intel Turbo Boost Technology (Turbo)  : Enabled (default is Enabled)"

" RAM configuration:"
"   Compute nodes have 2x8-GB RDIMM on each memory channel."

" Network:"
"   One 20-port switch"

" Compute Node Environment:"
"   ulimit -s = unlimited"
"   ulimit -l = unlimited"
"   File ""/etc/modprobe.d/mlx4_core.conf"" modified to contain ""options"
"   mlx4_core log_mtts_per_seg=5"""







"Base Compiler Invocation"
104.milc," mpiicc"," mpiicc"
107.leslie3d," mpiifort"," mpiifort"
113.GemsFDTD," mpiifort"," mpiifort"
115.fds4," mpiicc"," mpiifort"," mpiifort"
121.pop2," mpiicc"," mpiifort"," mpiifort"
122.tachyon," mpiicc"," mpiicc"
126.lammps," mpiicpc"," mpiicpc"
127.wrf2," mpiicc"," mpiifort"," mpiifort"
