valid,0,(NON-COMPLIANT)

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NC,NC,NC,NC,NC,,,,,
104.milc,NC,NC,NC,NC,NC,,,,,
104.milc,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NC,NC,NC,NC,NC,,,,,NR
107.leslie3d,NC,NC,NC,NC,NC,,,,,NR
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,NR
115.fds4,NC,NC,NC,NC,NC,,,,,NR
121.pop2,NC,NC,NC,NC,NC,,,,,NR
122.tachyon,NC,NC,NC,NC,NC,,,,,NR
126.lammps,NC,NC,NC,NC,NC,,,,,NR
127.wrf2,NC,NC,NC,NC,NC,,,,,NR
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,NR
129.tera_tf,NC,NC,NC,NC,NC,,,,,NR
130.socorro,NC,NC,NC,NC,NC,,,,,NR
132.zeusmp2,NC,NC,NC,NC,NC,,,,,NR
137.lu,NC,NC,NC,NC,NC,,,,,NR

SPECmpiM_base2007,NC,,NC
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",001

"System Vendor:","Intel Corporation"
"System Name:",Endeavor
"Date tested:",Jan-2008
"MPI2007 License:",13
"Test sponsor:","Intel Corporation"
"Tested by:","Grigory Zagorodnev"
"Hardware avail:",Dec-2007
"Software avail:",Dec-2007

"REASON FOR NON-COMPLIANCE"
---------------------------------------------------------------------------
" SPEC has determined that this result was not in compliance with the SPEC"
" MPI2007 run and reporting rules.  Specifically, the result did not meet the"
" requirement for baseline optimization flags to not use assertion flags (the"
" flag -fno-alias is a violation of this rule). The result was found to be"
" performance neutral compared to runs without -fno-alias. Replacement"
" results can be found at http://www.spec.org/mpi2007/results/res2008q4/mpi2007-20080922-00068.html"
---------------------------------------------------------------------------


"Node Description: Endeavor Node"

HARDWARE

"Number of nodes",32
"Uses of the node",compute
Vendor,Intel
Model,SR1560SF
"CPU Name","Intel Xeon CPU E5462"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",8
"Cores per chip",4
"Threads per core",1
"CPU Characteristics","1600MHz FSB"
"CPU MHz",2800
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","12 MB I+D on chip per chip, 6 MB shared / 2 cores"
"L3 Cache",None
"Other Cache",None
Memory,"16 GB (FBDIMM 16x1-GB 667 MHz)"
"Disk Subsystem","Seagate Barracuda ES 250 GB ST3250620NS"
"Other Hardware",None
Adapter,"Intel (ESB2) 82563EB Dual-Port Gigabit Ethernet"
,Controller
"Number of Adapters",1
"Slot Type","PCI-Express x8"
"Data Rate","1Gbps Ethernet"
"Ports Used",1
"Interconnect Type",Ethernet
Adapter,"Mellanox MHGH28-XTC IB DDR (PCIe x8 Gen1 2.5 GT/s)"
"Number of Adapters",1
"Slot Type","PCIe x16 Gen2"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",1
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Intel (ESB2) 82563EB Dual-Port Gigabit Ethernet"
,Controller
"Adapter Driver",e1000
"Adapter Firmware",N/A
Adapter,"Mellanox MHGH28-XTC IB DDR (PCIe x8 Gen1 2.5 GT/s)"
"Adapter Driver","OFED 1.2.5"
"Adapter Firmware",2.2
"Operating System","RedHat EL 4 Update 4"
"Local File System",Linux/ext3
"Shared File System",DirectFlow
"System State",Multi-User
"Other Software","PBS Pro 8.0"


"Node Description: Panasas Fileserver"

HARDWARE

"Number of nodes",1
"Uses of the node",fileserver
Vendor,Panasas
Model,"ActiveStor 3050"
"CPU Name",--
"CPU(s) orderable","1-2 chips"
"Chips enabled",1
"Cores enabled",1
"Cores per chip",1
"Threads per core",1
"CPU Characteristics",--
"CPU MHz",0
"Primary Cache",None
"Secondary Cache",None
"L3 Cache",None
"Other Cache",None
Memory,"1 MB"
"Disk Subsystem","140 disks, 250GB/disk, 35TB total, 7 Shelves"
"Other Hardware",None
Adapter,--
"Number of Adapters",1
"Slot Type",--
"Data Rate","1Gbps Ethernet"
"Ports Used",4
"Interconnect Type",Ethernet

SOFTWARE

Adapter,--
"Adapter Driver",--
"Adapter Firmware",N/A
"Operating System",2.3.7.a-195733.1
"Local File System",PanFS
"Shared File System",DirectFlow
"System State",Multi-User
"Other Software",None


"Interconnect Description: IB Switch"

HARDWARE

Vendor,"SilverStorm Technologies"
Model,"Cisco SFS 7024D"
"Switch Model","Cisco SFS 7024D"
